production_volume(tonnes)	fillet_share(-)	SEC(kWh/tonnes)	TEC(kWh)
17050	0,165013	153,3102053	2613939
15693	0,20302	155,6869177	2443194,8
15167,42	0,176151	152,7307743	2316531,8
14871,67	0,169536	155,7428991	2316157
12490,354	0,382238	174,928685	2184921,2
10858,008	0,649792	199,000406	2160748
9887,48	0,437853	192,1292786	1899674,4
8288	0,695463	221,2361486	1833605,2
11629,5	0,090921	152,4846984	1773320,8
10450,55	0,063698	167,3863864	1749279,8
8207,25	0,411288	211,1872795	1733266,8
8541,54	0,192359	200,9451926	1716381,4
8617,98	0,150302	186,5951882	1608073,6
6433,88	0,669767	248,0176814	1595716
7749,12	0,257498	196,8424802	1525356
6744,06	0,714104	219,1409329	1477899,6
6040,78	0,847824	219,5693271	1326370
6511,52	0,758852	203,2874352	1323710,2
5928,682	0,265189	216,862365	1285708
6595,22	0,229657	190,3619591	1255479
8201,14	0,185534	151,8330378	1245204
5568,76	0,777509	222,782738	1240623,6
6797,53	0,133766	178,5721578	1213849,6
4777,69	0,661749	237,9251898	1136732,8
3630	0,406887	294,5625344	1069262
4773,308	0,430311	213,3731995	1018496
3202	0,670312	303,7081824	972473,6
2418,14	0,685808	330,0867609	798196
2712	0,313053	258,3504425	700646,4
1729	0,803933	388,8850202	672382,2
1984,71	0,868223	328,9387366	652848
1512,14	0,796646	430,6244131	651164,4
1063,522	0,826181	548,4509018	583289,6
1293,78	1	430,7645813	557314,6
963,2	0,869664	543,0541944	523069,8
514,08	1	998,5613134	513340,4
2877,32	0,77153	172,4891913	496306,6
1273,08	0,616725	382,258774	486646
1393,62	0,795324	336,8619853	469457,6
1049	0,85224	423,9653003	444739,6
522,18	0	845,6421157	441577,4
304,38	0,910638	1383,267626	421039
609,92	0,917792	647,2402938	394764,8
885,94	0,852812	432,3161839	383006,2
314	0,601911	1203,363694	377856,2
277,3	0,961053	1358,760909	376784,4
