date (dd.mm.yyyy)	TEC_daily (MWh)	temperature_type	avg_ambient_temperature (°C)	load_elboiler_relative (-)
01.01.2021	10,1882	observation	2,4	0,261206504
02.01.2021	10,635	observation	1,4	0,38945449
03.01.2021	10,9282	observation	0,3	0,441574229
04.01.2021	12,7202	observation	-0,7	0,525452059
05.01.2021	35,8336	observation	-0,3	0,459352682
06.01.2021	75,0244	observation	0,3	0,200729372
07.01.2021	66,2906	observation	2,2	0,475763562
08.01.2021	79,8364	observation	1,4	0,077039964
09.01.2021	44,6996	observation	3	0,329433217
10.01.2021	20,3752	observation	0,8	0,645950463
11.01.2021	47,6266	observation	-1,8	0,591247531
12.01.2021	55,7498	observation	1,3	0,359671782
13.01.2021	28,8572	observation	-0,9	0,469533506
14.01.2021	55,8962	observation	-2,1	0,418477435
15.01.2021	69,9214	observation	-1,4	0,291445069
16.01.2021	64,0876	observation	-0,8	0,395380641
17.01.2021	105,5088	observation	4,1	0,044218204
18.01.2021	66,455	observation	4,8	0,140860052
19.01.2021	43,567	observation	3,9	0,415286431
20.01.2021	93,1042	observation	2,8	0,4310895
21.01.2021	105,518	observation	4,9	0,039659626
22.01.2021	69,6546	observation	4,2	0,111381249
23.01.2021	19,7482	observation	3	0,492478347
24.01.2021	18,9926	observation	3,2	0,583194043
25.01.2021	22,4572	observation	0,7	0,611001368
26.01.2021	21,8026	observation	-0,6	0,704300258
27.01.2021	55,2326	observation	-2	0,725877526
28.01.2021	56,8528	observation	-0,8	0,609785747
29.01.2021	23,9678	observation	0,5	0,788633946
30.01.2021	58,2952	observation	0,3	0,693207719
31.01.2021	75,5292	observation	-0,8	0,171098617
01.02.2021	42,9912	observation	-1,3	0,444309375
02.02.2021	73,5118	observation	-2,1	0,475915514
03.02.2021	94,075	observation	-3,9	0,150888923
04.02.2021	99,5184	observation	-5	0,07156967
05.02.2021	64,2212	observation	-4,6	0,651268804
06.02.2021	51,7074	observation	-3,3	0,526515727
07.02.2021	88,5792	observation	-4,2	0,101808236
08.02.2021	87,785	observation	-4,5	0,190548549
09.02.2021	59,4684	observation	-4,6	0,492630299
