date (dd.mm.yyyy)	time (hh:mm)	ref_sys_1 (kW) 	el_boiler (kW)
05.01.2021	00:00	123,7	208
05.01.2021	01:00	110,5	197
05.01.2021	02:00	105,4	198
05.01.2021	03:00	137,7	206
05.01.2021	04:00	112,5	237
05.01.2021	05:00	104,5	257
05.01.2021	06:00	108,4	247
05.01.2021	07:00	115,2	242
05.01.2021	08:00	294,7	219
05.01.2021	09:00	377,1	224
05.01.2021	10:00	404,8	204
05.01.2021	11:00	665,9	159
05.01.2021	12:00	733,4	75
05.01.2021	13:00	765,2	50
05.01.2021	14:00	818,3	46
05.01.2021	15:00	1140	36
05.01.2021	16:00	1246,5	36
05.01.2021	17:00	1264,9	29
05.01.2021	18:00	1269,1	29
05.01.2021	19:00	1334,2	26
05.01.2021	20:00	1654,6	25
05.01.2021	21:00	1901,2	23
05.01.2021	22:00	1864,7	26
05.01.2021	23:00	2040,3	24
06.01.2021	00:00	2207,8	37
06.01.2021	01:00	2171,9	53
06.01.2021	02:00	2386,6	56
06.01.2021	03:00	2372,9	43
06.01.2021	04:00	2335,9	51
06.01.2021	05:00	2181,6	54
06.01.2021	06:00	1861,9	51
06.01.2021	07:00	2000,3	40
06.01.2021	08:00	1990,3	32
06.01.2021	09:00	2046,3	32
06.01.2021	10:00	2051,9	30
06.01.2021	11:00	2033,4	29
06.01.2021	12:00	2016,7	27
06.01.2021	13:00	1528,6	25
06.01.2021	14:00	1573,5	25
06.01.2021	15:00	1512,4	22
06.01.2021	16:00	1245	23
06.01.2021	17:00	1153,5	30
06.01.2021	18:00	852,9	62
06.01.2021	19:00	762,7	104
06.01.2021	20:00	797,4	96
06.01.2021	21:00	776,8	106
06.01.2021	22:00	591,7	118
06.01.2021	23:00	335,1	175
07.01.2021	00:00	252,3	219
07.01.2021	01:00	257,2	235
07.01.2021	02:00	251,4	250
07.01.2021	03:00	254,2	255
07.01.2021	04:00	252,5	272
07.01.2021	05:00	245,8	261
07.01.2021	06:00	233,2	265
07.01.2021	07:00	243,4	262
07.01.2021	08:00	291,4	240
07.01.2021	09:00	573,5	178
07.01.2021	10:00	701,3	106
07.01.2021	11:00	478,9	129
07.01.2021	12:00	423,5	132
07.01.2021	13:00	448,6	98
07.01.2021	14:00	475,6	103
07.01.2021	15:00	730,7	34
07.01.2021	16:00	1213,9	13
07.01.2021	17:00	1313,7	13
07.01.2021	18:00	1624,3	13
07.01.2021	19:00	2111,6	10
07.01.2021	20:00	2142,8	11
07.01.2021	21:00	2395,1	12
07.01.2021	22:00	2734,9	10
07.01.2021	23:00	2639,1	10
08.01.2021	00:00	2607	11
08.01.2021	01:00	2636,2	21
08.01.2021	02:00	2798,2	23
08.01.2021	03:00	2789,6	24
08.01.2021	04:00	2776,1	27
08.01.2021	05:00	2622,6	26
08.01.2021	06:00	2117,1	27
08.01.2021	07:00	2199,3	23
08.01.2021	08:00	2190,7	22
08.01.2021	09:00	2297	19
08.01.2021	10:00	2532,3	19
08.01.2021	11:00	2522,4	20
08.01.2021	12:00	2359,8	17
08.01.2021	13:00	2559,5	19
08.01.2021	14:00	2493,1	17
08.01.2021	15:00	2462,1	19
08.01.2021	16:00	2481,1	17
08.01.2021	17:00	2100	19
08.01.2021	18:00	1847,6	19
08.01.2021	19:00	1588,9	18
08.01.2021	20:00	1079,5	20
08.01.2021	21:00	1024,8	18
08.01.2021	22:00	826,5	26
08.01.2021	23:00	780,8	36
09.01.2021	00:00	769,4	55
09.01.2021	01:00	754,7	101
09.01.2021	02:00	749,8	106
09.01.2021	03:00	737,6	72
09.01.2021	04:00	721,6	86
09.01.2021	05:00	696,7	77
09.01.2021	06:00	631,6	43
09.01.2021	07:00	587,6	71
09.01.2021	08:00	583,5	82
09.01.2021	09:00	769,6	61
09.01.2021	10:00	807,1	13
09.01.2021	11:00	672,7	13
09.01.2021	12:00	432,9	58
09.01.2021	13:00	504,3	47
09.01.2021	14:00	429,9	62
09.01.2021	15:00	417	77
09.01.2021	16:00	429	95
09.01.2021	17:00	403,3	95
09.01.2021	18:00	380,3	102
09.01.2021	19:00	412,3	118
09.01.2021	20:00	324,4	151
09.01.2021	21:00	215,2	184
09.01.2021	22:00	212,3	199
09.01.2021	23:00	216,4	200
10.01.2021	00:00	211,2	201
10.01.2021	01:00	211,1	205
10.01.2021	02:00	206,4	201
10.01.2021	03:00	215,3	199
10.01.2021	04:00	210,4	202
10.01.2021	05:00	212,2	198
10.01.2021	06:00	207,3	205
10.01.2021	07:00	212,3	199
10.01.2021	08:00	253,1	198
10.01.2021	09:00	436,1	167
10.01.2021	10:00	452,2	139
10.01.2021	11:00	426,6	128
10.01.2021	12:00	431,2	127
10.01.2021	13:00	448,8	121
10.01.2021	14:00	390,6	136
10.01.2021	15:00	378,8	147
10.01.2021	16:00	388,9	161
10.01.2021	17:00	392,3	162
10.01.2021	18:00	367,2	163
10.01.2021	19:00	331,2	167
10.01.2021	20:00	193,8	197
10.01.2021	21:00	204,3	208
10.01.2021	22:00	206,2	209
10.01.2021	23:00	210,5	211
11.01.2021	00:00	205,3	217
11.01.2021	01:00	217,4	220
11.01.2021	02:00	420,5	195
11.01.2021	03:00	435,6	168
11.01.2021	04:00	459,7	149
11.01.2021	05:00	380,8	126
11.01.2021	06:00	198,9	193
11.01.2021	07:00	344,1	178
11.01.2021	08:00	285,7	196
11.01.2021	09:00	566,2	169
11.01.2021	10:00	606,6	117
11.01.2021	11:00	597,8	130
11.01.2021	12:00	593,3	101
11.01.2021	13:00	550,6	115
11.01.2021	14:00	614,3	107
11.01.2021	15:00	533,8	118
11.01.2021	16:00	425,2	158
11.01.2021	17:00	409,6	189
11.01.2021	18:00	393,6	190
11.01.2021	19:00	387,5	190
11.01.2021	20:00	409,4	199
11.01.2021	21:00	798	125
11.01.2021	22:00	508,1	160
11.01.2021	23:00	510,9	181
12.01.2021	00:00	459,1	193
12.01.2021	01:00	478,2	211
12.01.2021	02:00	451,2	218
12.01.2021	03:00	492,4	204
12.01.2021	04:00	446,2	211
12.01.2021	05:00	454,4	208
12.01.2021	06:00	435,3	183
12.01.2021	07:00	522,8	143
12.01.2021	08:00	598,6	139
12.01.2021	09:00	726,5	101
12.01.2021	10:00	930,1	38
12.01.2021	11:00	981,1	16
12.01.2021	12:00	891	20
12.01.2021	13:00	1066,5	21
12.01.2021	14:00	1193,6	18
12.01.2021	15:00	1271,7	18
12.01.2021	16:00	1521,5	15
12.01.2021	17:00	1470,4	23
12.01.2021	18:00	1386	43
12.01.2021	19:00	1251,9	54
12.01.2021	20:00	1124,8	60
12.01.2021	21:00	1073,9	71
12.01.2021	22:00	937,9	75
12.01.2021	23:00	923,8	84
13.01.2021	00:00	921,5	101
13.01.2021	01:00	907,7	83
13.01.2021	02:00	1101,9	50
13.01.2021	03:00	1117,4	35
13.01.2021	04:00	1104,2	27
13.01.2021	05:00	990,6	27
13.01.2021	06:00	728,3	74
13.01.2021	07:00	708,4	92
13.01.2021	08:00	761,1	104
13.01.2021	09:00	931,6	98
13.01.2021	10:00	1045,8	37
13.01.2021	11:00	1077,6	48
13.01.2021	12:00	781,7	95
13.01.2021	13:00	613,7	121
13.01.2021	14:00	501,1	163
13.01.2021	15:00	491,2	169
13.01.2021	16:00	468,6	186
13.01.2021	17:00	460,9	189
13.01.2021	18:00	350,9	202
13.01.2021	19:00	261,9	231
13.01.2021	20:00	262	236
13.01.2021	21:00	255	242
13.01.2021	22:00	258	240
13.01.2021	23:00	262	240
14.01.2021	00:00	257	243
14.01.2021	01:00	261,2	242
14.01.2021	02:00	257,2	240
14.01.2021	03:00	256,2	244
14.01.2021	04:00	262,6	240
14.01.2021	05:00	253,5	243
14.01.2021	06:00	261,3	240
14.01.2021	07:00	349,2	227
14.01.2021	08:00	309,3	225
14.01.2021	09:00	399,3	219
14.01.2021	10:00	663,1	156
14.01.2021	11:00	1039,6	84
14.01.2021	12:00	1285,9	41
14.01.2021	13:00	1723,7	20
14.01.2021	14:00	2085,1	8
14.01.2021	15:00	2359,8	8
14.01.2021	16:00	2468,6	9
14.01.2021	17:00	2612,5	8
14.01.2021	18:00	2941,6	8
14.01.2021	19:00	3039	9
14.01.2021	20:00	3211,5	8
14.01.2021	21:00	3152,8	9
14.01.2021	22:00	3096,2	10
14.01.2021	23:00	3077,9	13
